"bird_id","status","sex","colony_coord","date_time","X","Y"
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-05 00:38:19 UTC",-67.915599,-67.440359
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-05 00:49:05 UTC",-67.914623,-67.442407
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-05 00:59:06 UTC",-67.925483,-67.440646
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-05 01:09:05 UTC",-67.925497,-67.440645
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-05 01:18:58 UTC",-67.925461,-67.440629
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-05 01:29:05 UTC",-67.925165,-67.439972
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-05 01:39:04 UTC",-67.926605,-67.440062
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-05 01:48:58 UTC",-67.915507,-67.440192
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-05 01:58:57 UTC",-67.915653,-67.440211
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-05 02:08:56 UTC",-67.915689,-67.44024
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-05 02:18:50 UTC",-67.913711,-67.441264
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-05 02:28:51 UTC",-67.914101,-67.442243
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-05 02:38:50 UTC",-67.913366,-67.44257
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-05 02:48:43 UTC",-67.914342,-67.448243
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-05 02:58:43 UTC",-67.913621,-67.451053
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-05 03:08:41 UTC",-67.913491,-67.451075
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-05 03:18:35 UTC",-67.913461,-67.451006
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-05 03:28:34 UTC",-67.913491,-67.451044
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-05 03:39:05 UTC",-67.913143,-67.45122
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-05 03:48:58 UTC",-67.917543,-67.453157
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-05 03:59:00 UTC",-67.917496,-67.453238
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-05 04:08:56 UTC",-67.916261,-67.453266
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-05 04:18:51 UTC",-67.95481,-67.467949
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-05 04:28:50 UTC",-68.049298,-67.542877
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-04 01:46:55 UTC",-67.991949,-67.480473
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-04 01:57:40 UTC",-67.94854,-67.452143
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-04 02:07:40 UTC",-67.933839,-67.445396
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-04 02:17:37 UTC",-67.934117,-67.44539
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-04 02:27:36 UTC",-67.934205,-67.445354
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-04 02:37:35 UTC",-67.933727,-67.445584
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-04 02:47:31 UTC",-67.933731,-67.445619
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-04 02:57:27 UTC",-67.933509,-67.445509
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-04 03:07:27 UTC",-67.935146,-67.445626
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-04 03:17:23 UTC",-67.933699,-67.444901
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-04 03:27:21 UTC",-67.934503,-67.446301
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-04 03:37:20 UTC",-67.934508,-67.446224
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-04 03:48:19 UTC",-67.940044,-67.447152
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-04 03:58:16 UTC",-67.936259,-67.446677
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-04 04:08:18 UTC",-67.933809,-67.444809
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-04 04:18:11 UTC",-67.933487,-67.445638
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-04 04:28:10 UTC",-67.93332,-67.445443
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-04 04:38:09 UTC",-67.93329,-67.445483
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-04 04:48:03 UTC",-67.933323,-67.445486
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-04 04:58:02 UTC",-67.933358,-67.445572
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-04 05:08:01 UTC",-67.932953,-67.444034
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-04 05:17:58 UTC",-67.93273,-67.444947
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-04 05:27:57 UTC",-67.93275,-67.44498
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-04 05:37:56 UTC",-67.932767,-67.445131
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-04 05:47:50 UTC",-67.932896,-67.444836
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-04 05:57:50 UTC",-67.935233,-67.445307
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-04 06:07:51 UTC",-67.933401,-67.444389
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-04 06:17:44 UTC",-67.940665,-67.447694
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-04 06:29:10 UTC",-67.938994,-67.447502
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-04 06:38:59 UTC",-67.952881,-67.456678
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-04 06:49:00 UTC",-67.953056,-67.45383
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-04 06:58:58 UTC",-67.952771,-67.4543
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-04 07:08:58 UTC",-67.953609,-67.454658
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-04 07:19:44 UTC",-67.953988,-67.455505
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-04 07:29:42 UTC",-67.95471,-67.459722
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-04 07:39:41 UTC",-67.954723,-67.459649
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-04 07:49:37 UTC",-67.954568,-67.459799
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-04 07:59:36 UTC",-67.954576,-67.459819
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-04 08:09:34 UTC",-67.97052,-67.469145
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-04 08:19:28 UTC",-67.970247,-67.469024
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-04 08:29:27 UTC",-68.002418,-67.489433
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-05 01:15:00 UTC",-68.006195,-67.486669
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-05 01:24:59 UTC",-67.952572,-67.453352
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-05 01:35:01 UTC",-67.951413,-67.452925
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-05 01:45:03 UTC",-67.954016,-67.449939
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-05 01:55:03 UTC",-67.954054,-67.449899
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-05 02:05:01 UTC",-67.954013,-67.449983
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-05 02:15:00 UTC",-67.954634,-67.450249
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-05 02:25:00 UTC",-67.95793,-67.450848
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-05 02:35:18 UTC",-67.957985,-67.452749
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-05 02:45:23 UTC",-67.958675,-67.452887
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-05 02:55:22 UTC",-67.95863,-67.452848
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-05 03:05:29 UTC",-67.959097,-67.452858
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-05 03:15:13 UTC",-67.958579,-67.452804
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-05 03:25:15 UTC",-67.959107,-67.4529
